Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
224,Shri B Y Raghavendra,Shimoga,Karnataka,30 ,17-06-2019,06-08-2019
515,Shri Anto Antony,Pathanamthitta,Kerala,31 ,17-06-2019,06-08-2019
220,Smt. Mala Rajya Laxmi Shah,Tehri Garhwal,Uttarakhand,36 ,17-06-2019,06-08-2019
446,Shri Prasun Banerjee,Howrah,West Bengal,30 ,17-06-2019,06-08-2019
521,Shri Doddalahalli Kempegowda Suresh,Bangalore Rural,Karnataka,26 ,17-06-2019,06-08-2019
166,Shri Dharmendra Kumar Kashyap,Aonla,Uttar Pradesh,34 ,17-06-2019,06-08-2019
157,Shri P P Chaudhary,Pali,Rajasthan,35 ,17-06-2019,06-08-2019
18,Dr. Vijay Kumar Singh General (Retd.),Ghaziabad,Uttar Pradesh,1 ,17-06-2019,06-08-2019
34,Dr. Satya Pal Singh,Baghpat,Uttar Pradesh,37 ,17-06-2019,06-08-2019
231,Shri Ramesh Chander Kaushik,Sonipat,Haryana,37 ,17-06-2019,06-08-2019
42,Shri Satish Kumar Gautam,Aligarh,Uttar Pradesh,37 ,17-06-2019,06-08-2019
97,Dr. Bhola Singh,Bulandshahr,Uttar Pradesh,37 ,17-06-2019,06-08-2019
101,Shri Manoj Tiwari,North East Delhi,NCT of Delhi,36 ,17-06-2019,06-08-2019
323,Choudhary Mehboob Ali Kaiser,Khagaria,Bihar,30 ,17-06-2019,06-08-2019
94,Shri Sudheer Gupta,Mandsour,Madhya Pradesh,37 ,17-06-2019,06-08-2019
67,Km. Shobha Karandlaje,Bangalore North,Karnataka,36 ,17-06-2019,06-08-2019
214,Smt. Hema Malini,Mathura,Uttar Pradesh,22 ,17-06-2019,06-08-2019
229,Shri Vinod Kumar Sonkar,Kaushambi,Uttar Pradesh,37 ,17-06-2019,06-08-2019
21,Shri Nityanand Rai,Ujiarpur,Bihar,1 ,17-06-2019,06-08-2019
27,Shri Bhagwanth Khuba,Bidar,Karnataka,29 ,17-06-2019,06-08-2019
235,Shri Harish Dwivedi,Basti,Uttar Pradesh,36 ,17-06-2019,06-08-2019
43,Shri Rajveer (Raju Bhaiya) Singh,Etah,Uttar Pradesh,34 ,17-06-2019,06-08-2019
439,Shri Bhagwant Mann,Sangrur,Punjab,14 ,17-06-2019,06-08-2019
240,Shri Janardan Singh Sigriwal,Maharajganj,Bihar,37 ,17-06-2019,06-08-2019
