Division No.,Member Name,Constiituency,State,No of Days Member signed the register
46,Shri Lalubhai Babubhai Patel,Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,14 
284,Shri Prataprao Ganpatrao Jadhav,Buldhana,Maharashtra,15 
501,Smt. Supriya Sule,Baramati,Maharashtra,15 
221,Shri Devji Mansingram Patel,Jalore,Rajasthan,14 
517,Shri Ravneet Singh,Ludhiana,Punjab,19 
513,Shri Manish Tewari,Chandigarh,Chandigarh,20 
389,Maulana Badruddin Ajmal,Dhubri,Assam,4 
146,Dr. (Prof.) Kirit Premjibhai Solanki,Ahmedabad West,Gujarat,20 
149,Shri Naranbhai Bhikhabhai Kachhadiya,Amreli,Gujarat,15 
68,Smt. Darshana Vikram Jardosh,Surat,Gujarat,17 
78,Shri Chandrakant Raghunath Patil,Navsari,Gujarat,18 
314,Shri Baidyanath Prasad Mahto,Valmiki Nagar,Bihar,14 
30,Dr. Sanjay Jaiswal,Paschim Champaran,Bihar,15 
160,Shri Pradeep Kumar Singh,Araria,Bihar,20 
365,Shri Kaushalendra Kumar,Nalanda,Bihar,20 
377,Shri Mahabali Singh,Karakat,Bihar,19 
441,Dr. Kakoli Ghosh Dastidar,Barasat,West Bengal,17 
485,Shri Choudhury Mohan Jatua,Mathurapur,West Bengal,16 
433,Shri Kalyan Banerjee,Sreerampur,West Bengal,15 
429,Shri Sisir Kumar Adhikari,Kanthi,West Bengal,7 
445,Smt. Satabdi Roy,Birbhum,West Bengal,18 
76,Shri Uday Pratap Singh,Hoshangabad,Madhya Pradesh,19 
447,Shri P.R. Natarajan,Coimbatore,Tamil Nadu,18 
434,Dr. Thirumaavalavan Tholkappiyan,Chidambaram,Tamil Nadu,11 
510,Shri Manickam Tagore B,Virudhunagar,Tamil Nadu,19 
522,Shri K Sudhakaran,Kannur,Kerala,16 
514,Shri M K Raghavan,Kozhikode,Kerala,16 
435,Shri E T Mohammed Basheer,Malappuram,Kerala,18 
439,Dr. Shashi Tharoor,Thiruvananthapuram,Kerala,20 
224,Shri B Y Raghavendra,Shimoga,Karnataka,5 
515,Shri Anto Antony,Pathanamthitta,Kerala,18 
220,Smt. Mala Rajya Laxmi Shah,Tehri Garhwal,Uttarakhand,19 
446,Shri Prasun Banerjee,Howrah,West Bengal,17 
521,Shri Doddalahalli Kempegowda Suresh,Bangalore Rural,Karnataka,19 
166,Shri Dharmendra Kumar Kashyap,Aonla,Uttar Pradesh,17 
157,Shri P P Chaudhary,Pali,Rajasthan,20 
34,Dr. Satya Pal Singh,Baghpat,Uttar Pradesh,20 
231,Shri Ramesh Chander Kaushik,Sonipat,Haryana,20 
42,Shri Satish Kumar Gautam,Aligarh,Uttar Pradesh,19 
97,Dr. Bhola Singh,Bulandshahr,Uttar Pradesh,20 
101,Shri Manoj Tiwari,North East Delhi,NCT of Delhi,15 
323,Choudhary Mehboob Ali Kaiser,Khagaria,Bihar,18 
94,Shri Sudheer Gupta,Mandsour,Madhya Pradesh,20 
67,Km. Shobha Karandlaje,Bangalore North,Karnataka,10 
214,Smt. Hema Malini,Mathura,Uttar Pradesh,10 
